epochs,val_loss,val_acc,loss,acc,config
0,5.274110817909241,0.03,5.2801631784439085,0.006199999861419201,"{'img_pixels': 200, 'n_filters': 32, 'layer_nodes': 400, 'batchsize': 50, 'epochs': 100, 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 100, 'validation_steps': 100}"
1,5.277490167617798,0.01,5.2787718956213645,0.0070084099354603595,"{'img_pixels': 200, 'n_filters': 32, 'layer_nodes': 400, 'batchsize': 50, 'epochs': 100, 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 100, 'validation_steps': 100}"
2,5.2753098726272585,0.0,5.275908012390136,0.009999999776482582,"{'img_pixels': 200, 'n_filters': 32, 'layer_nodes': 400, 'batchsize': 50, 'epochs': 100, 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 100, 'validation_steps': 100}"
3,5.1439028024673465,0.0,5.224341097668643,0.009811773920087849,"{'img_pixels': 200, 'n_filters': 32, 'layer_nodes': 400, 'batchsize': 50, 'epochs': 100, 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 100, 'validation_steps': 100}"
4,5.184184727668762,0.0,5.163615372069224,0.008610332216866072,"{'img_pixels': 200, 'n_filters': 32, 'layer_nodes': 400, 'batchsize': 50, 'epochs': 100, 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 100, 'validation_steps': 100}"
5,5.127218670845032,0.01,5.143135347366333,0.012399999722838402,"{'img_pixels': 200, 'n_filters': 32, 'layer_nodes': 400, 'batchsize': 50, 'epochs': 100, 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 100, 'validation_steps': 100}"
6,5.127647643089294,0.02,5.138456726914461,0.012014417042661105,"{'img_pixels': 200, 'n_filters': 32, 'layer_nodes': 400, 'batchsize': 50, 'epochs': 100, 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 100, 'validation_steps': 100}"
7,5.090904288291931,0.02,5.118540482521057,0.011599999740719796,"{'img_pixels': 200, 'n_filters': 32, 'layer_nodes': 400, 'batchsize': 50, 'epochs': 100, 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 100, 'validation_steps': 100}"
8,5.103652329444885,0.0,5.104762628453705,0.017621144991029392,"{'img_pixels': 200, 'n_filters': 32, 'layer_nodes': 400, 'batchsize': 50, 'epochs': 100, 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 100, 'validation_steps': 100}"
9,5.185945453643799,0.02,5.096434210699751,0.012815378167698944,"{'img_pixels': 200, 'n_filters': 32, 'layer_nodes': 400, 'batchsize': 50, 'epochs': 100, 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 100, 'validation_steps': 100}"
